x,y
235.0,824.8
236.0,824.7
237.0,824.5
238.0,824.4
239.0,824.2
240.0,824.1
241.0,824.1
242.0,824.2
243.0,824.3
244.0,824.4
245.0,824.7
246.0,824.9
247.0,825.1
248.0,825.3
249.0,825.6
250.0,825.9
251.0,826.2
252.0,826.4
253.0,826.6
254.0,826.7
255.0,826.9
256.0,827.1
257.0,827.2
258.0,827.4
259.0,827.2
260.0,826.9
261.0,826.9
262.0,826.9
263.0,826.9
264.0,826.9
265.0,826.9
266.0,826.9
267.0,826.8
268.0,826.8
269.0,826.7
270.0,826.7
271.0,826.6
272.0,826.5
273.0,826.5
274.0,826.4
275.0,826.3
276.0,826.3
277.0,826.3
278.0,826.3
279.0,826.2
280.0,826.1
281.0,826.4
282.0,826.7
283.0,826.8
284.0,826.9
285.0,826.8
286.0,826.7
287.0,826.3
288.0,825.8
289.0,825.2
290.0,824.7
291.0,824.3
292.0,824.0
293.0,823.8
294.0,823.6
295.0,823.6
296.0,823.5
297.0,823.4
298.0,823.4
299.0,823.2
300.0,823.1
301.0,823.0
302.0,822.9
303.0,822.8
304.0,822.7
305.0,822.7
306.0,822.6
307.0,822.5
308.0,822.4
309.0,822.4
310.0,822.3
311.0,822.2
312.0,822.1
313.0,821.8
314.0,821.5
315.0,821.0
316.0,820.6
317.0,820.1
318.0,819.7
319.0,819.1
320.0,818.5
321.0,818.2
322.0,818.0
323.0,817.6
324.0,817.1
325.0,816.7
326.0,816.3
327.0,816.2
328.0,816.1
329.0,816.2
330.0,816.3
331.0,816.4
332.0,816.4
333.0,816.5
334.0,816.6
335.0,816.5
336.0,816.5
337.0,816.5
338.0,816.5
339.0,816.3
340.0,816.2
341.0,816.4
342.0,816.8
343.0,817.0
344.0,817.3
345.0,817.5
346.0,817.8
347.0,818.2
348.0,818.6
349.0,818.9
350.0,819.1
351.0,819.2
352.0,819.2
353.0,819.2
354.0,819.1
355.0,819.2
356.0,819.5
357.0,819.7
358.0,820.0
359.0,820.2
360.0,820.4
361.0,820.7
362.0,821.1
363.0,821.3
364.0,821.4
365.0,821.5
366.0,821.6
367.0,821.7
368.0,821.9
369.0,822.0
370.0,822.1
371.0,822.1
372.0,822.1
373.0,822.1
374.0,822.2
375.0,822.3
376.0,822.6
377.0,822.7
378.0,822.9
379.0,823.0
380.0,823.0
381.0,823.3
382.0,823.6
383.0,823.7
384.0,823.9
385.0,823.9
386.0,823.9
387.0,823.8
388.0,823.5
389.0,823.3
390.0,823.0
391.0,823.0
392.0,823.0
393.0,823.1
394.0,823.3
395.0,823.4
396.0,823.5
397.0,823.3
398.0,823.0
399.0,822.2
400.0,821.3
401.0,821.2
402.0,821.2
403.0,821.3
404.0,821.3
405.0,821.4
406.0,821.6
407.0,821.6
408.0,821.6
409.0,821.4
410.0,821.2
411.0,820.7
412.0,820.3
413.0,819.8
414.0,819.5
415.0,819.3
416.0,819.3
417.0,819.3
418.0,819.4
419.0,819.3
420.0,819.3
421.0,819.3
422.0,819.4
423.0,819.4
424.0,819.3
425.0,819.2
426.0,819.1
427.0,819.1
428.0,819.0
429.0,818.8
430.0,818.6
431.0,818.3
432.0,818.1
433.0,817.8
434.0,817.6
435.0,817.5
436.0,817.4
437.0,817.4
438.0,817.3
439.0,817.1
440.0,816.8
441.0,816.8
442.0,816.7
443.0,816.7
444.0,816.7
445.0,816.7
446.0,816.7
447.0,816.8
448.0,816.9
449.0,817.1
450.0,817.4
451.0,817.6
452.0,817.9
453.0,818.0
454.0,818.1
455.0,818.2
456.0,818.4
457.0,818.5
458.0,818.6
459.0,818.6
460.0,818.6
461.0,818.7
462.0,818.9
463.0,819.0
464.0,819.2
465.0,819.3
466.0,819.4
467.0,819.4
468.0,819.5
469.0,819.6
470.0,819.6
471.0,819.7
472.0,819.7
473.0,819.7
474.0,819.7
475.0,819.7
476.0,819.7
477.0,819.5
478.0,819.4
479.0,819.2
480.0,818.9
481.0,818.8
482.0,818.7
483.0,818.5
484.0,818.3
485.0,818.1
486.0,817.8
487.0,817.6
488.0,817.3
489.0,817.0
490.0,816.6
491.0,816.3
492.0,815.9
493.0,815.6
494.0,815.3
495.0,815.0
496.0,814.7
497.0,814.3
498.0,814.0
499.0,813.6
500.0,813.2
501.0,813.0
502.0,812.8
503.0,812.7
504.0,812.5
505.0,812.5
506.0,812.4
507.0,812.4
508.0,812.5
509.0,812.5
510.0,812.5
511.0,812.5
